Date,Close,High,Low,Open,Volume
,NVDA,NVDA,NVDA,NVDA,NVDA
2015-01-02,0.4830114245414734,0.4866106406352872,0.4753331350130699,0.4830114245414734,113680000
2015-01-05,0.47485336661338806,0.4844512308997415,0.47269386502633765,0.48301154410583685,197952000
2015-01-06,0.4604564905166626,0.4760529693490393,0.45997660458104156,0.4755730834134183,197764000
2015-01-07,0.45925673842430115,0.4678947992489874,0.4578170520855876,0.46381569749056484,321808000
2015-01-08,0.47653284668922424,0.4794122194586118,0.4642955982307224,0.4645355554961042,283780000
2015-01-09,0.4784524738788605,0.48205169025342115,0.47173398431935015,0.47821254518975764,209540000
2015-01-12,0.4724538028240204,0.47989213526845914,0.4681347720047914,0.4796521779881352,190732000
2015-01-13,0.4717338979244232,0.48565076047667055,0.4683746680617895,0.4760529281790926,236720000
2015-01-14,0.4736535847187042,0.4750932713532328,0.4654954367331848,0.4666951660606908,155260000
2015-01-15,0.4702942967414856,0.47989213019211185,0.47005433946369996,0.477012785877684,188932000
2015-01-16,0.47893226146698,0.4794121473217369,0.4681346724140806,0.46957435858214563,181512000
2015-01-20,0.48037198185920715,0.48493091210609685,0.47437330813408934,0.4822915254149931,140308000
2015-01-21,0.4870903491973877,0.488290106598067,0.4743732182296113,0.47773247602317365,144780000
2015-01-22,0.49548861384391785,0.49692830023239903,0.4830114080872103,0.4880502532392974,159712000
2015-01-23,0.49692824482917786,0.49788801657862664,0.49188934303128784,0.4959684158721383,120416000
2015-01-26,0.49476873874664307,0.4971681968368606,0.4916494375086009,0.49476873874664307,133240000
2015-01-27,0.4710141122341156,0.48757039112376505,0.47005431178329343,0.4870904765964548,357948000
2015-01-28,0.4633358418941498,0.4786923922979213,0.4630958846207317,0.47677281992197496,272728000
2015-01-29,0.47461339831352234,0.47725278574388436,0.4614163467464956,0.46357587675730544,235340000
2015-01-30,0.46069636940956116,0.47677276104448624,0.45997655488579686,0.4712540018715863,298200000
2015-02-02,0.4707741141319275,0.4726936862632553,0.45445779392133506,0.4635757400922952,259604000
2015-02-03,0.4825315475463867,0.4830114621321112,0.47173398423601737,0.47413344274943275,183468000
