Date,Adj Close_QQQ,Adj Close_SOXX,Adj Close_SPY,Capital Gains_QQQ,Capital Gains_SOXX,Capital Gains_SPY,Close_QQQ,Close_SOXX,Close_SPY,Dividends_QQQ,Dividends_SOXX,Dividends_SPY,High_QQQ,High_SOXX,High_SPY,Low_QQQ,Low_SOXX,Low_SPY,Open_QQQ,Open_SOXX,Open_SPY,Stock Splits_QQQ,Stock Splits_SOXX,Stock Splits_SPY,Volume_QQQ,Volume_SOXX,Volume_SPY
2015-01-02,94.7844467163086,27.559072494506836,170.5896453857422,0.0,0.0,0.0,102.94000244140624,30.93666648864746,205.42999267578125,0.0,0.0,0.0,104.1999969482422,31.27666664123535,206.8800048828125,102.44000244140624,30.64666748046875,204.17999267578125,103.76000213623048,31.100000381469727,206.3800048828125,0.0,0.0,0.0,31314600,663000,121465900
2015-01-05,93.39405822753906,27.039430618286133,167.5087890625,0.0,0.0,0.0,101.43000030517578,30.35333251953125,201.72000122070312,0.0,0.0,0.0,102.61000061035156,30.86333274841309,204.3699951171875,101.13999938964844,30.343332290649418,201.3500061035156,102.48999786376952,30.80666732788086,204.1699981689453,0.0,0.0,0.0,36521300,619500,169632600
2015-01-06,92.14179229736328,26.43663024902344,165.9310760498047,0.0,0.0,0.0,100.06999969482422,29.676666259765625,199.82000732421875,0.0,0.0,0.0,101.75,30.40333366394043,202.72000122070312,99.62000274658205,29.59000015258789,198.86000061035156,101.58000183105467,30.37333297729492,202.08999633789065,0.0,0.0,0.0,66205500,1123800,209151400
2015-01-07,93.32958221435548,26.69794654846191,167.998779296875,0.0,0.0,0.0,101.36000061035156,29.969999313354492,202.30999755859375,0.0,0.0,0.0,101.5999984741211,30.10333251953125,202.72000122070312,100.48999786376952,29.670000076293945,200.8800048828125,100.7300033569336,29.84666633605957,201.4199981689453,0.0,0.0,0.0,37577400,721200,125346700
2015-01-08,95.1159210205078,27.49077796936035,170.97988891601562,0.0,0.0,0.0,103.3000030517578,30.86000061035156,205.8999938964844,0.0,0.0,0.0,103.5,30.90999984741211,206.16000366210935,102.11000061035156,30.273332595825195,203.9900054931641,102.22000122070312,30.273332595825195,204.0099945068359,0.0,0.0,0.0,40212600,633000,147217800
2015-01-09,94.4897918701172,27.505624771118164,169.60971069335938,0.0,0.0,0.0,102.62000274658205,30.87666702270508,204.25,0.0,0.0,0.0,103.6500015258789,31.0,206.4199981689453,102.0199966430664,30.50666618347168,203.5099945068359,103.62000274658205,30.983333587646484,206.3999938964844,0.0,0.0,0.0,41410100,420900,158567300
2015-01-12,93.50457763671876,26.977067947387695,168.28109741210938,0.0,0.0,0.0,101.5500030517578,30.28333282470703,202.6499938964844,0.0,0.0,0.0,102.93000030517578,30.74333381652832,204.6000061035156,101.29000091552734,30.13666725158691,201.9199981689453,102.81999969482422,30.74333381652832,204.41000366210935,0.0,0.0,0.0,34129800,572400,144396100
2015-01-13,93.47692108154295,26.712797164916992,167.80776977539062,0.0,0.0,0.0,101.5199966430664,29.98666763305664,202.0800018310547,0.0,0.0,0.0,103.62000274658205,30.87666702270508,205.47999572753903,100.6999969482422,29.833332061767575,200.5099945068359,102.54000091552734,30.503332138061523,204.1199951171875,0.0,0.0,0.0,56162300,520800,214553300
2015-01-14,92.96131134033205,26.561351776123047,166.79469299316406,0.0,0.0,0.0,100.95999908447266,29.816667556762695,200.86000061035156,0.0,0.0,0.0,101.4800033569336,30.11333274841309,201.1000061035156,100.06999969482422,29.510000228881836,198.57000732421875,100.5,29.696666717529297,199.6499938964844,0.0,0.0,0.0,51354200,1241700,192991100
2015-01-15,91.75509643554688,26.35052490234375,165.26673889160156,0.0,0.0,0.0,99.6500015258789,29.579999923706055,199.02000427246097,0.0,0.0,0.0,101.58999633789062,30.213333129882812,202.0099945068359,99.52999877929688,29.55666732788086,198.8800048828125,101.43000030517578,30.049999237060547,201.6300048828125,0.0,0.0,0.0,51005400,663000,176613900
2015-01-16,92.83238983154295,26.63855743408203,167.43409729003906,0.0,0.0,0.0,100.81999969482422,29.90333366394043,201.6300048828125,0.0,0.0,0.0,100.9499969482422,29.94333267211914,201.82000732421875,99.36000061035156,29.350000381469727,198.5500030517578,99.5199966430664,29.476667404174805,198.77000427246097,0.0,0.0,0.0,35362200,876900,211879600
2015-01-20,93.56901550292967,26.91471290588379,167.79112243652344,0.0,0.0,0.0,101.62000274658205,30.213333129882812,202.05999755859375,0.0,0.0,0.0,101.87999725341795,30.323333740234375,202.72000122070312,100.29000091552734,29.82666778564453,200.1699981689453,101.43000030517578,30.05666732788086,202.3999938964844,0.0,0.0,0.0,30964100,395400,130991100
2015-01-21,94.0478057861328,27.220563888549805,168.63816833496094,0.0,0.0,0.0,102.13999938964844,30.55666732788086,203.0800018310547,0.0,0.0,0.0,102.62000274658205,30.690000534057617,203.66000366210935,100.95999908447266,30.02666664123535,200.94000244140625,101.31999969482422,30.156667709350582,201.5,0.0,0.0,0.0,40128800,433500,122942700
2015-01-22,95.78807067871094,27.383882522583008,171.1460418701172,0.0,0.0,0.0,104.02999877929688,30.739999771118164,206.1000061035156,0.0,0.0,0.0,104.13999938964844,30.766666412353516,206.2599945068359,101.63999938964844,29.963333129882812,202.3300018310547,102.54000091552734,30.530000686645508,203.9900054931641,0.0,0.0,0.0,40887200,1371300,174356000
2015-01-23,95.9998550415039,27.312604904174805,170.20761108398438,0.0,0.0,0.0,104.26000213623048,30.65999984741211,204.97000122070312,0.0,0.0,0.0,104.58000183105467,30.799999237060547,206.1000061035156,103.72000122070312,30.510000228881836,204.80999755859375,104.0199966430664,30.60333251953125,205.7899932861328,0.0,0.0,0.0,34783000,564600,117516800
2015-01-26,95.88932037353516,27.36309814453125,170.606201171875,0.0,0.0,0.0,104.13999938964844,30.71666717529297,205.4499969482422,0.0,0.0,0.0,104.33000183105467,30.786666870117188,205.55999755859375,103.61000061035156,30.36666679382324,203.8500061035156,104.13999938964844,30.593332290649418,204.7100067138672,0.0,0.0,0.0,19960900,353700,92009700
2015-01-27,93.4032974243164,26.876110076904297,168.35580444335938,0.0,0.0,0.0,101.44000244140624,30.170000076293945,202.7400054931641,0.0,0.0,0.0,102.55999755859376,30.453332901000977,204.1199951171875,101.0999984741211,29.983333587646484,201.7400054931641,102.5,30.323333740234375,202.97000122070312,0.0,0.0,0.0,45253200,1060800,134044600
